,NDC Description,NADAC_Per_Unit,Effective_Date,Pricing_Unit,OTC,Classification_for_Rate_Setting,rx_name,dosage
5654614,ABACAVIR-LAMIVUDINE-ZIDOV TAB,20.32523,170621,EA,N,G,ABACAVIR-LAMIVUDINE-ZIDOV TAB,
3011294,ABILIFY 1 MG/ML SOLUTION,6.32127,150101,ML,N,B,ABILIFY,1 MG/ML SOLUTION
6145974,ABILIFY 10 MG TABLET,28.56703,180221,EA,N,B,ABILIFY,10 MG TABLET
6144444,ABILIFY 15 MG TABLET,28.56398,180221,EA,N,B,ABILIFY,15 MG TABLET
6132161,ABILIFY 2 MG TABLET,28.60152,180523,EA,N,B,ABILIFY,2 MG TABLET
6149623,ABILIFY 20 MG TABLET,40.39723,180418,EA,N,B,ABILIFY,20 MG TABLET
6142037,ABILIFY 30 MG TABLET,40.43828,180822,EA,N,B,ABILIFY,30 MG TABLET
6134521,ABILIFY 5 MG TABLET,28.50096,180221,EA,N,B,ABILIFY,5 MG TABLET
3067665,ABILIFY DISCMELT 10 MG TABLET,35.01615,150101,EA,N,B,ABILIFY DISCMELT,10 MG TABLET
3049492,ABILIFY DISCMELT 15 MG TABLET,34.30308,150101,EA,N,B,ABILIFY DISCMELT,15 MG TABLET
6140172,ABILIFY MAINTENA ER 300 MG SYR,"1,560.69589",180701,EA,N,B,ABILIFY MAINTENA ER,300 MG SYR
6150228,ABILIFY MAINTENA ER 300 MG VL,"1,557.89488",180701,EA,N,B,ABILIFY MAINTENA ER,300 MG VL
6149479,ABILIFY MAINTENA ER 400 MG SYR,"2,080.80780",180701,EA,N,B,ABILIFY MAINTENA ER,400 MG SYR
6139587,ABILIFY MAINTENA ER 400 MG VL,"2,076.94186",180701,EA,N,B,ABILIFY MAINTENA ER,400 MG VL
6143147,ABREVA 10% CREAM,7.86258,180919,GM,Y,B,ABREVA,10% CREAM
3057370,ABSORBASE OINTMENT,0.01549,131218,GM,Y,G,ABSORBASE OINTMENT,
5124328,ABSORICA 20 MG CAPSULE,30.48241,170101,EA,N,B,ABSORICA,20 MG CAPSULE
6132216,ABSORICA 30 MG CAPSULE,34.80908,180201,EA,N,B,ABSORICA,30 MG CAPSULE
6140122,ABSORICA 40 MG CAPSULE,34.71384,180321,EA,N,B,ABSORICA,40 MG CAPSULE
6150576,ACAMPROSATE CALC DR 333 MG TAB,0.67161,181017,EA,N,G,ACAMPROSATE CALC DR,333 MG TAB
6139823,ACANYA GEL PUMP,10.05866,180105,GM,N,B,ACANYA GEL PUMP,
6150010,ACARBOSE 100 MG TABLET,0.21500,181017,EA,N,G,ACARBOSE,100 MG TABLET
6146807,ACARBOSE 25 MG TABLET,0.17721,181017,EA,N,G,ACARBOSE,25 MG TABLET
6148999,ACARBOSE 50 MG TABLET,0.16373,181017,EA,N,G,ACARBOSE,50 MG TABLET
3308355,ACCOLATE 20 MG TABLET,3.65423,150722,EA,N,B,ACCOLATE,20 MG TABLET
6138928,ACCUPRIL 10 MG TABLET,4.69807,180101,EA,N,B,ACCUPRIL,10 MG TABLET
6150845,ACCUPRIL 20 MG TABLET,4.72632,180101,EA,N,B,ACCUPRIL,20 MG TABLET
6150615,ACCUPRIL 40 MG TABLET,4.72497,180101,EA,N,B,ACCUPRIL,40 MG TABLET
6150375,ACEBUTOLOL 200 MG CAPSULE,0.21070,181017,EA,N,G,ACEBUTOLOL,200 MG CAPSULE
6150298,ACEBUTOLOL 400 MG CAPSULE,0.31114,181017,EA,N,G,ACEBUTOLOL,400 MG CAPSULE
6142404,ACEPHEN 120 MG SUPPOSITORY,0.30316,181017,EA,Y,G,ACEPHEN,120 MG SUPPOSITORY
6148805,ACEPHEN 325 MG SUPPOSITORY,0.54916,181017,EA,Y,G,ACEPHEN,325 MG SUPPOSITORY
6150511,ACEPHEN 650 MG SUPPOSITORY,0.32326,181017,EA,Y,G,ACEPHEN,650 MG SUPPOSITORY
6132657,ACETA-GESIC 325-12.5 MG TABLET,0.02036,171220,EA,Y,G,ACETA-GESIC,325-12.5 MG TABLET
4585759,ACETAMIN-CAFF-DIHYDROCOD 320.5,2.74353,160817,EA,N,G,ACETAMIN-CAFF-DIHYDROCOD,320.5
6147639,ACETAMINOPHEN 120 MG SUPPOS,0.30316,181017,EA,Y,G,ACETAMINOPHEN,120 MG SUPPOS
6141932,ACETAMINOPHEN 160 MG/5 ML LIQ,0.00803,181017,ML,Y,G,ACETAMINOPHEN,160 MG/5 ML LIQ
6127216,ACETAMINOPHEN 325 MG GELCAP,0.01695,181017,EA,Y,G,ACETAMINOPHEN,325 MG GELCAP
2812946,ACETAMINOPHEN 325 MG SUPPOS,0.50585,150218,EA,Y,G,ACETAMINOPHEN,325 MG SUPPOS
6131622,ACETAMINOPHEN 325 MG TABLET,0.01695,181024,EA,Y,G,ACETAMINOPHEN,325 MG TABLET
6149481,ACETAMINOPHEN 500 MG CAPLET,0.02811,181017,EA,Y,G,ACETAMINOPHEN,500 MG CAPLET
6135756,ACETAMINOPHEN 500 MG SOFTGEL,0.02824,181017,EA,Y,G,ACETAMINOPHEN,500 MG SOFTGEL
6143247,ACETAMINOPHEN 500 MG TABLET,0.02811,181024,EA,Y,G,ACETAMINOPHEN,500 MG TABLET
2947355,ACETAMINOPHEN 500 MG/5 ML LIQ,0.02064,130523,ML,Y,G,ACETAMINOPHEN,500 MG/5 ML LIQ
6135254,ACETAMINOPHEN 650 MG SUPPOS,0.32326,181017,EA,Y,G,ACETAMINOPHEN,650 MG SUPPOS
3824663,ACETAMINOPHEN 80 MG TAB CHEW,0.03909,161221,EA,Y,G,ACETAMINOPHEN,80 MG TAB CHEW
6149915,ACETAMINOPHEN ER 650 MG TABLET,0.05719,181017,EA,Y,G,ACETAMINOPHEN ER,650 MG TABLET
6144906,ACETAMINOPHEN PM CAPLET,0.04480,181017,EA,Y,G,ACETAMINOPHEN PM CAPLET,
2237284,ACETAMINOPHEN-BUTALBITAL 325-50 TAB,1.22310,150819,EA,N,G,ACETAMINOPHEN-BUTALBITAL,325-50 TAB
3040936,ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,1.12669,130822,EA,N,G,ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,
6138688,ACETAMINOPHEN-COD #2 TABLET,0.11327,181017,EA,N,G,ACETAMINOPHEN-COD #2,TABLET
6150085,ACETAMINOPHEN-COD #3 TABLET,0.10766,181017,EA,N,G,ACETAMINOPHEN-COD #3,TABLET
6147630,ACETAMINOPHEN-COD #4 TABLET,0.24389,181017,EA,N,G,ACETAMINOPHEN-COD #4,TABLET
6141289,ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION,0.01292,181017,ML,N,G,ACETAMINOPHEN-CODEINE,120 MG-12 MG/5 ML SOLUTION
2921090,ACETAMINOPHEN-CODEINE SOLUTION,0.02069,150318,ML,N,G,ACETAMINOPHEN-CODEINE SOLUTION,
6141121,ACETAMINOPHEN-DIPHENHYDRAMINE 500 MG-25 MG TABLET,0.04480,181017,EA,Y,G,ACETAMINOPHEN-DIPHENHYDRAMINE,500 MG-25 MG TABLET
5974990,ACETASOL HC EAR DROPS,7.12309,180822,ML,N,G,ACETASOL HC EAR DROPS,
6147093,ACETAZOLAMIDE 125 MG TABLET,1.22276,181017,EA,N,G,ACETAZOLAMIDE,125 MG TABLET
6146158,ACETAZOLAMIDE 250 MG TABLET,1.18914,181017,EA,N,G,ACETAZOLAMIDE,250 MG TABLET
6149550,ACETAZOLAMIDE ER 500 MG CAP,0.70782,181017,EA,N,G,ACETAZOLAMIDE ER,500 MG CAP
3070153,ACETIC ACID 0.25% IRRIG SOLN,0.00302,140618,ML,N,G,ACETIC ACID,0.25% IRRIG SOLN
6146612,ACETIC ACID 2% EAR SOLUTION,1.34019,181017,ML,N,G,ACETIC ACID,2% EAR SOLUTION
5247218,ACETIC ACID-ALUMINUM DROPS,0.88811,170118,ML,N,G,ACETIC ACID-ALUMINUM DROPS,
4591809,ACETYLCYSTEINE 10% VIAL,0.31580,160817,ML,N,G,ACETYLCYSTEINE,10% VIAL
6149355,ACETYLCYSTEINE 20% VIAL,0.35775,181017,ML,N,G,ACETYLCYSTEINE,20% VIAL
3018609,ACETYLCYSTEINE 6 GRAM/30 ML VL,6.13755,130718,ML,N,G,ACETYLCYSTEINE,6 GRAM/30 ML VL
6151071,ACID CONTROL 150 MG TABLET,0.12830,181017,EA,Y,G,ACID CONTROL,150 MG TABLET
585539,ACID CONTROL 75 MG TABLET,0.07184,151118,EA,Y,G,ACID CONTROL,75 MG TABLET
6146275,ACID CONTROLLER 20 MG TABLET,0.17464,181017,EA,Y,G,ACID CONTROLLER,20 MG TABLET
6142536,ACID GONE ANTACID LIQUID,0.01168,181017,ML,Y,G,ACID GONE ANTACID LIQUID,
6133387,ACID GONE TABLET CHEW,0.03004,181017,EA,Y,G,ACID GONE,TABLET CHEW
6149120,ACID REDUCER 10 MG TABLET,0.11987,181017,EA,Y,G,ACID REDUCER,10 MG TABLET
1188883,ACID REDUCER 150 MG TABLET,0.13265,141119,EA,Y,G,ACID REDUCER,150 MG TABLET
6148417,ACID REDUCER 20 MG TABLET,0.17464,181017,EA,Y,G,ACID REDUCER,20 MG TABLET
6150460,ACID REDUCER 75 MG TABLET,0.07988,181017,EA,Y,G,ACID REDUCER,75 MG TABLET
6147828,ACID REDUCER COMPLETE TAB CHEW,0.21453,181017,EA,Y,G,ACID REDUCER COMPLETE TAB CHEW,
6140443,ACID REDUCER DR 20 MG CAP,0.38805,181017,EA,Y,G,ACID REDUCER DR,20 MG CAP
6140154,ACIPHEX DR 20 MG TABLET,16.74975,180822,EA,N,B,ACIPHEX DR,20 MG TABLET
6150442,ACITRETIN 10 MG CAPSULE,11.30206,180822,EA,N,G,ACITRETIN,10 MG CAPSULE
804431,ACITRETIN 17.5 MG CAPSULE,24.16873,160210,EA,N,G,ACITRETIN,17.5 MG CAPSULE
6145990,ACITRETIN 25 MG CAPSULE,13.79430,180919,EA,N,G,ACITRETIN,25 MG CAPSULE
6133877,ACNE MEDICATION 10% GEL,0.06986,181017,GM,Y,G,ACNE MEDICATION,10% GEL
6142627,ACNE MEDICATION 10% LOTION,0.08129,180620,ML,Y,G,ACNE MEDICATION,10% LOTION
6150774,ACNE MEDICATION 5% GEL,0.05439,181017,GM,Y,G,ACNE MEDICATION,5% GEL
6133607,ACNE MEDICATION 5% LOTION,0.06393,181017,ML,Y,G,ACNE MEDICATION,5% LOTION
2917681,ACNE TREATMENT 10% CREAM,0.08257,140618,GM,Y,G,ACNE TREATMENT,10% CREAM
3827445,ACTEMRA 162 MG/0.9 ML SYRINGE,"1,001.12048",170101,ML,N,B,ACTEMRA,162 MG/0.9 ML SYRINGE
5605563,ACTIVE FE TABLET,2.87020,180523,EA,N,G,ACTIVE FE,TABLET
6133255,ACTIVELLA 0.5-0.1 MG TABLET,7.94562,180801,EA,N,B,ACTIVELLA,0.5-0.1 MG TABLET
3033893,ACTIVELLA 1 MG-0.5 MG TABLET,5.80199,140903,EA,N,B,ACTIVELLA,1 MG-0.5 MG TABLET
6142717,ACTONEL 150 MG TABLET,339.48042,180101,EA,N,B,ACTONEL,150 MG TABLET
6145871,ACTONEL 35 MG TABLET,77.50556,180101,EA,N,B,ACTONEL,35 MG TABLET
6130372,ACTONEL 5 MG TABLET,11.12433,180101,EA,N,B,ACTONEL,5 MG TABLET
5126784,ACTOPLUS MET 15 MG-500 MG TAB,9.53235,170104,EA,N,B,ACTOPLUS MET,15 MG-500 MG TAB
4005165,ACTOPLUS MET 15 MG-850 MG TAB,9.51467,170104,EA,N,B,ACTOPLUS MET,15 MG-850 MG TAB
6141666,"ACTOPLUS MET XR 15-1,000 MG TB",10.16047,180919,EA,N,B,ACTOPLUS MET XR,"15-1,000 MG TB"
5112174,"ACTOPLUS MET XR 30-1,000 MG TB",20.47958,170104,EA,N,B,ACTOPLUS MET XR,"30-1,000 MG TB"
5115615,ACTOS 15 MG TABLET,12.48265,170104,EA,N,B,ACTOS,15 MG TABLET
5105040,ACTOS 30 MG TABLET,19.02116,170104,EA,N,B,ACTOS,30 MG TABLET
5112219,ACTOS 45 MG TABLET,20.92871,170104,EA,N,B,ACTOS,45 MG TABLET
6147496,ACULAR 0.5% EYE DROPS,50.53694,180101,ML,N,B,ACULAR,0.5% EYE DROPS
6133895,ACULAR LS 0.4% OPHTH SOL,52.03202,180101,ML,N,B,ACULAR LS,0.4% OPHTH SOL
6138792,ACUVAIL 0.45% OPHTH SOLUTION,9.81728,180101,EA,N,B,ACUVAIL,0.45% OPHTH SOLUTION
6148341,ACYCLOVIR 200 MG CAPSULE,0.10013,181017,EA,N,G,ACYCLOVIR,200 MG CAPSULE
6149366,ACYCLOVIR 200 MG/5 ML SUSP,0.51933,181017,ML,N,G,ACYCLOVIR,200 MG/5 ML SUSP
6150596,ACYCLOVIR 400 MG TABLET,0.07830,181017,EA,N,G,ACYCLOVIR,400 MG TABLET
6150181,ACYCLOVIR 5% OINTMENT,5.08806,181017,GM,N,G,ACYCLOVIR,5% OINTMENT
6146849,ACYCLOVIR 800 MG TABLET,0.14516,181017,EA,N,G,ACYCLOVIR,800 MG TABLET
6147978,ACZONE 5% GEL,9.41104,181017,GM,N,B,ACZONE,5% GEL
6136352,ACZONE 7.5% GEL PUMP,9.49814,181017,GM,N,B,ACZONE,7.5% GEL PUMP
6150904,ADAPALENE 0.1% CREAM,3.75273,181017,GM,N,G,ADAPALENE,0.1% CREAM
6140156,ADAPALENE 0.1% GEL,1.67598,181017,GM,N,G,ADAPALENE,0.1% GEL
6142994,ADAPALENE 0.3% GEL,2.22821,181017,GM,N,G,ADAPALENE,0.3% GEL
6149139,ADAPALENE 0.3% GEL PUMP,4.78108,180221,GM,N,G,ADAPALENE,0.3% GEL PUMP
6147767,ADAPALENE-BNZYL PEROX 0.1-2.5%,1.69969,181017,GM,N,G,ADAPALENE-BNZYL PEROX,0.1-2.5%
6132690,ADCIRCA 20 MG TABLET,64.71500,180919,EA,N,B,ADCIRCA,20 MG TABLET
6148241,ADDERALL 10 MG TABLET,6.18040,180630,EA,N,B-ANDA,ADDERALL,10 MG TABLET
3069074,ADDERALL 15 MG TABLET,4.80855,150101,EA,N,B-ANDA,ADDERALL,15 MG TABLET
6150190,ADDERALL 20 MG TABLET,6.17442,180630,EA,N,B-ANDA,ADDERALL,20 MG TABLET
6126843,ADDERALL 30 MG TABLET,6.14443,180630,EA,N,B-ANDA,ADDERALL,30 MG TABLET
3046964,ADDERALL 5 MG TABLET,4.79935,150107,EA,N,B-ANDA,ADDERALL,5 MG TABLET
6144810,ADDERALL XR 10 MG CAPSULE,6.85217,180523,EA,N,B,ADDERALL XR,10 MG CAPSULE
6147060,ADDERALL XR 15 MG CAPSULE,6.84495,180620,EA,N,B,ADDERALL XR,15 MG CAPSULE
6144643,ADDERALL XR 20 MG CAPSULE,6.84487,180620,EA,N,B,ADDERALL XR,20 MG CAPSULE
6131532,ADDERALL XR 25 MG CAPSULE,6.84604,180620,EA,N,B,ADDERALL XR,25 MG CAPSULE
6146189,ADDERALL XR 30 MG CAPSULE,6.84293,180620,EA,N,B,ADDERALL XR,30 MG CAPSULE
6143314,ADDERALL XR 5 MG CAPSULE,6.83559,180620,EA,N,B,ADDERALL XR,5 MG CAPSULE
6146676,ADEFOVIR DIPIVOXIL 10 MG TAB,25.81873,180321,EA,N,G,ADEFOVIR DIPIVOXIL,10 MG TAB
6084542,ADIPEX-P 37.5 MG TABLET,2.00248,181010,EA,N,B-ANDA,ADIPEX-P,37.5 MG TABLET
6148965,ADMELOG 100 UNIT/ML VIAL,22.55717,180620,ML,N,B,ADMELOG,100 UNIT/ML VIAL
6131621,ADMELOG SOLOSTAR 100 UNIT/ML,28.93284,180822,ML,N,B,ADMELOG SOLOSTAR,100 UNIT/ML
2847224,ADRENACLICK 0.15 MG AUTO-INJCT,160.84889,140219,EA,N,B,ADRENACLICK,0.15 MG AUTO-INJCT
2775689,ADRENACLICK 0.3 MG AUTO-INJECT,149.48484,140122,EA,N,B,ADRENACLICK,0.3 MG AUTO-INJECT
2924139,ADRENALIN CL 1 MG/ML VIAL,0.23767,140618,ML,N,G,ADRENALIN CL,1 MG/ML VIAL
2807215,ADT ROBITUSSIN LINGER COLD SYR,0.03694,150722,ML,Y,B,ADT ROBITUSSIN LINGER COLD SYR,
1415402,ADT ROBITUSSIN NGT M-S COLD LQ,0.02888,150923,ML,Y,B,ADT ROBITUSSIN NGT M-S COLD LQ,
2937398,ADT ROBITUSSIN NGT NASL RLF TB,0.19297,140820,EA,Y,B,ADT ROBITUSSIN NGT NASL RLF TB,
2791127,ADT ROBITUSSIN PEAK CLD DM MAX,0.03345,150819,ML,Y,B,ADT ROBITUSSIN PEAK CLD DM MAX,
2973021,ADT ROBITUSSIN PEAK CLD M-S LQ,0.03676,150520,ML,Y,B,ADT ROBITUSSIN PEAK CLD M-S LQ,
6138169,ADULT ASPIRIN REGIMEN EC 81 MG,0.01522,181017,EA,Y,G,ADULT ASPIRIN REGIMEN EC,81 MG
2577127,ADULT ROBITUSSIN M-S COLD LIQ,0.03459,150819,ML,Y,B,ADULT ROBITUSSIN M-S COLD LIQ,
2981025,ADULT ROBITUSSIN NASAL RLF TAB,0.22158,130321,EA,Y,B,ADULT ROBITUSSIN NASAL RLF TAB,
3066561,ADULT ROBITUSSIN PEAK COLD LIQ,0.03714,150722,ML,Y,B,ADULT ROBITUSSIN PEAK COLD LIQ,
6146978,ADVAIR 100-50 DISKUS,5.07219,181017,EA,N,B,ADVAIR,100-50 DISKUS
6135095,ADVAIR 250-50 DISKUS,6.30389,181017,EA,N,B,ADVAIR,250-50 DISKUS
6149536,ADVAIR 500-50 DISKUS,8.28781,181017,EA,N,B,ADVAIR,500-50 DISKUS
6133238,ADVAIR HFA 115-21 MCG INHALER,31.49252,181017,GM,N,B,ADVAIR HFA,115-21 MCG INHALER
6128455,ADVAIR HFA 230-21 MCG INHALER,41.38847,181017,GM,N,B,ADVAIR HFA,230-21 MCG INHALER
6139975,ADVAIR HFA 45-21 MCG INHALER,25.36198,180620,GM,N,B,ADVAIR HFA,45-21 MCG INHALER
5637143,ADVANCED ANTACID LIQUID,0.00608,180523,ML,Y,G,ADVANCED ANTACID LIQUID,
6138541,ADVANCED FORMULA EYE DROPS,0.09404,181017,ML,Y,G,ADVANCED FORMULA EYE DROPS,
3013706,"ADVICOR 1,000 MG-20 MG TABLET",7.21922,151231,EA,N,B,ADVICOR,"1,000 MG-20 MG TABLET"
3037336,"ADVICOR 1,000 MG-40 MG TABLET",8.49120,151231,EA,N,B,ADVICOR,"1,000 MG-40 MG TABLET"
824997,ADVICOR 500 MG-20 MG TABLET,6.20360,160120,EA,N,B,ADVICOR,500 MG-20 MG TABLET
2916366,ADVIL 100 MG TABLET,0.14940,150422,EA,Y,B,ADVIL,100 MG TABLET
620186,ADVIL 200 MG CAPLET,0.10809,151118,EA,Y,B,ADVIL,200 MG CAPLET
524585,ADVIL 200 MG GEL CAPLET,0.10809,151118,EA,Y,B,ADVIL,200 MG GEL CAPLET
570808,ADVIL 200 MG LIQUI-GEL CAPSULE,0.14206,151118,EA,Y,B,ADVIL,200 MG LIQUI-GEL CAPSULE
581472,ADVIL 200 MG TABLET,0.10809,151118,EA,Y,B,ADVIL,200 MG TABLET
482240,ADVIL ALLERGY SINUS CAPLET,0.47718,151021,EA,Y,B,ADVIL ALLERGY SINUS CAPLET,
2992580,ADVIL ALLERGY-CONGEST RLF TAB,0.45911,150520,EA,Y,B,ADVIL ALLERGY-CONGEST RLF TAB,
598376,ADVIL COLD & SINUS CAPLET,0.26145,151021,EA,Y,B,ADVIL COLD & SINUS CAPLET,
2004314,ADVIL COLD-SINUS LIQUI-GELS,0.29684,150923,EA,Y,B,ADVIL COLD-SINUS LIQUI-GELS,
436476,ADVIL CONGESTION RELIEF TABLET,0.49913,151118,EA,Y,B,ADVIL CONGESTION RELIEF,TABLET
3032710,ADVIL JR STR 100 MG TAB CHEW,0.15103,150422,EA,Y,B,ADVIL JR STR,100 MG TAB CHEW
377862,ADVIL LIQUI-GELS 200 MG CAP,0.14206,151118,EA,Y,B,ADVIL LIQUI-GELS,200 MG CAP
588139,ADVIL MIGRAINE 200 MG CAPS,0.14206,151118,EA,Y,B,ADVIL MIGRAINE,200 MG CAPS
598124,ADVIL PM CAPLET,0.16514,151118,EA,Y,B,ADVIL PM CAPLET,
528353,ADVIL PM LIQUI-GELS,0.19851,151118,EA,Y,B,ADVIL PM LIQUI-GELS,
6135517,ADZENYS XR-ODT 12.5 MG TABLET,10.23244,181017,EA,N,B,ADZENYS XR-ODT,12.5 MG TABLET
6144298,ADZENYS XR-ODT 15.7 MG TABLET,10.20076,181017,EA,N,B,ADZENYS XR-ODT,15.7 MG TABLET
6129118,ADZENYS XR-ODT 18.8 MG TABLET,10.26153,180117,EA,N,B,ADZENYS XR-ODT,18.8 MG TABLET
6134586,ADZENYS XR-ODT 3.1 MG TABLET,10.19000,181017,EA,N,B,ADZENYS XR-ODT,3.1 MG TABLET
6141483,ADZENYS XR-ODT 6.3 MG TABLET,10.23304,181017,EA,N,B,ADZENYS XR-ODT,6.3 MG TABLET
6150045,ADZENYS XR-ODT 9.4 MG TABLET,10.22405,180620,EA,N,B,ADZENYS XR-ODT,9.4 MG TABLET
6142010,AEROSPAN 80 MCG INHALER,21.05609,180117,GM,N,B,AEROSPAN,80 MCG INHALER
6151022,AFEDITAB CR 30 MG TABLET,0.19857,181017,EA,N,G,AFEDITAB CR,30 MG TABLET
6140876,AFEDITAB CR 60 MG TABLET,0.26333,181017,EA,N,G,AFEDITAB CR,60 MG TABLET
3830632,AFINITOR 10 MG TABLET,462.03939,170104,EA,N,B,AFINITOR,10 MG TABLET
3429974,AFREZZA 4 UNIT CARTRIDGE,2.42367,150819,EA,N,B,AFREZZA,4 UNIT CARTRIDGE
3216459,AFREZZA 4 UNITS CARTRIDGE INH,2.42367,150819,EA,N,B,AFREZZA,4 UNITS CARTRIDGE INH
3060848,AFRIN 0.05% NASAL SPRAY,0.30891,140917,ML,Y,B,AFRIN,0.05% NASAL SPRAY
2936575,AFRIN NO DRIP ORIG PUMP MIST,0.34427,141217,ML,Y,B,AFRIN NO DRIP ORIG PUMP MIST,
2224376,AFRIN NO DRIP PUMP MIST,0.34427,141217,ML,Y,B,AFRIN NO DRIP PUMP MIST,
2913860,AFRIN NO DRIP SINUS PUMP MIST,0.34427,141217,ML,Y,B,AFRIN NO DRIP SINUS PUMP MIST,
6147469,AFTERA 1.5 MG TABLET,15.02286,181017,EA,Y,G,AFTERA,1.5 MG TABLET
6145813,AGGRENOX 25 MG-200 MG CAPSULE,8.35141,181017,EA,N,B,AGGRENOX,25 MG-200 MG CAPSULE
6132769,AIMOVIG (70 MG/ML) 140 MG DOSE - 2 AUTOINJECTORS,278.36625,181017,ML,N,B,AIMOVIG (70 MG/ML),140 MG DOSE - 2 AUTOINJECTORS
6145858,AIMOVIG 70 MG/ML AUTOINJECTOR,557.25800,180919,ML,N,B,AIMOVIG,70 MG/ML AUTOINJECTOR
6135379,AK-POLY-BAC EYE OINTMENT,2.76222,181017,GM,N,G,AK-POLY-BAC EYE OINTMENT,
2992796,AKNE-MYCIN 2% OINTMENT,4.91440,140122,GM,N,B,AKNE-MYCIN,2% OINTMENT
3931381,AKWA TEARS 1.4% DROPS,0.13261,170118,ML,Y,G,AKWA TEARS,1.4% DROPS
836431,AKWA TEARS OINTMENT,0.83428,160120,GM,Y,G,AKWA TEARS OINTMENT,
4249028,ALA-HIST DM LIQUID,0.15421,160420,ML,Y,G,ALA-HIST DM LIQUID,
6132716,ALA-HIST IR 2 MG TABLET,0.67360,180822,EA,Y,G,ALA-HIST IR,2 MG TABLET
6139978,ALA-HIST PE TABLET,0.64700,181017,EA,Y,G,ALA-HIST PE,TABLET
573025,ALAVERT 10 MG ODT,0.31217,151118,EA,Y,B,ALAVERT,10 MG ODT
567098,ALAVERT D-12 ALLERGY-SINUS TAB,0.53781,151118,EA,Y,B-ANDA,ALAVERT D-12 ALLERGY-SINUS TAB,
6140688,ALAWAY 0.025% EYE DROPS,0.86317,180620,ML,Y,B,ALAWAY,0.025% EYE DROPS
6137561,ALBENZA 200 MG TABLET,211.25316,180801,EA,N,B,ALBENZA,200 MG TABLET
2959809,ALBUKED-25 VIAL,0.49510,141119,ML,N,B,ALBUKED-25 VIAL,
2913659,ALBUMINAR-25 IV SOLUTION,0.49510,141119,ML,N,B,ALBUMINAR-25 IV SOLUTION,
3048004,ALBURX (HUMAN) 25% VIAL,0.49510,141119,ML,N,B,ALBURX (HUMAN),25% VIAL
2865854,ALBUTEIN 25% VIAL,0.49510,141119,ML,N,B,ALBUTEIN,25% VIAL
3043060,ALBUTEROL 0.083% INHAL SOLN,0.04376,150318,ML,N,G,ALBUTEROL,0.083% INHAL SOLN
6130887,ALBUTEROL 2.5 MG/0.5 ML SOL,0.35807,181017,EA,N,G,ALBUTEROL,2.5 MG/0.5 ML SOL
6130045,ALBUTEROL 5 MG/ML SOLUTION,1.36577,181017,ML,N,G,ALBUTEROL,5 MG/ML SOLUTION
6145922,ALBUTEROL SUL 0.63 MG/3 ML SOL,0.20876,181017,ML,N,G,ALBUTEROL SUL,0.63 MG/3 ML SOL
6146700,ALBUTEROL SUL 1.25 MG/3 ML SOL,0.21553,181017,ML,N,G,ALBUTEROL SUL,1.25 MG/3 ML SOL
6143199,ALBUTEROL SUL 2.5 MG/3 ML SOLN,0.03874,181017,ML,N,G,ALBUTEROL SUL,2.5 MG/3 ML SOLN
6136498,ALBUTEROL SULF 2 MG/5 ML SYRUP,0.02920,181017,ML,N,G,ALBUTEROL SULF,2 MG/5 ML SYRUP
